code,MC_seed=1,MC_seed=2
373,-0.00015348525116403258,-0.00017446822421563152
374,-0.00015266116450750658,-0.00017282586988603068
375,-0.0001515203655712894,-0.00017158725554243428
376,-0.0001494234692477809,-0.00017102956434796908
377,-0.00014828267031018303,-0.00016979095000538869
378,-0.000147458583655291,-0.00016814859567973212
379,-0.0001463177847167818,-0.00016690998133723903
380,-0.0001453411617162968,-0.0001658385141922507
381,-0.00014420036277629377,-0.0001645998998486815
382,-0.00014337627612225892,-0.00016295754552443187
383,-0.00014223547718134413,-0.00016171893118095107
384,-0.00014217747632094292,-0.00015854157063220674
385,-0.00014103667738230792,-0.00015730295628902248
386,-0.0001402125907312854,-0.0001556606019689975
387,-0.0001390717917917372,-0.00015442198762590225
388,-0.00013809516879213904,-0.000153350520474157
389,-0.00013695436985109772,-0.00015211190612998563
390,-0.0001361302832009333,-0.00015046955181136762
391,-0.0001349894842589801,-0.0001492309374672859
392,-0.00013289258794382678,-0.0001486732462971683
393,-0.0001317517890004958,-0.0001474346319541027
394,-0.00013092770235196421,-0.00014579227763943017
395,-0.000129786903407722,-0.0001445536632964519
396,-0.0001288102804063007,-0.00014348219613978958
397,-0.0001276694814605632,-0.00014224358179573758
398,-0.0001268453948128907,-0.00014060122748247585
399,-0.00012570459586624234,-0.0001393626131385102
400,-0.0001237869545493692,-0.0001377477215600704
401,-0.0001226461556020876,-0.00013650910721287274
402,-0.0001218220689564444,-0.00013486675289838045
403,-0.00012068127000825139,-0.0001336281385512706
404,-0.0001197046470056001,-0.0001325566713854533
405,-0.00011856384805591561,-0.00013131805703727064
406,-0.00011773976141112922,-0.00012967570272418737
407,-0.00011659896246053381,-0.0001284370883760934
408,-0.00011450206615047859,-0.0001278793972271519
409,-0.0001133612671985032,-0.0001266407828800755
410,-0.0001125371805553531,-0.00012499842857094048
411,-0.00011139638160246801,-0.00012375981422395262
412,-0.00011041975859799562,-0.00012268834705322088
413,-0.0001092789596436181,-0.00012144973270515971
414,-0.00010845487300132329,-0.00011980737839743447
415,-0.0001073140740460357,-0.00011856876404946258
416,-0.0001067739396571249,-0.00011714036750332178
417,-0.00010563314070492102,-0.00011590175315470729
418,-0.00010480905406650868,-0.00011425939884912866
419,-0.00010366825511339442,-0.0001130207845006029
420,-0.00010269163211061238,-0.00011194931732308439
421,-0.00010155083315600572,-0.0001107107029734868
422,-0.0001007267465184518,-0.00010906834866931871
423,-9.95859475629342e-05,-0.00010782973431981089
424,-9.748905126323189e-05,-0.00010727204319303807
425,-9.634825230633688e-05,-0.00010603342884454549
426,-9.552416567041883e-05,-0.00010439107454432857
427,-9.438336671261258e-05,-0.00010315246019592712
428,-9.340674370801209e-05,-0.00010208099301349684
429,-9.226594474871422e-05,-0.0001008423786640228
430,-9.144185811365497e-05,-9.920002436521896e-05
431,-9.030105915344689e-05,-9.796141001583338e-05
432,-8.838341787192899e-05,-9.634651834008974e-05
433,-8.72426189110899e-05,-9.510790398747243e-05
434,-8.641853227806171e-05,-9.346554968744442e-05
435,-8.527773331631352e-05,-9.222693533491726e-05
436,-8.430111031048452e-05,-9.115546814334016e-05
437,-8.316031134724281e-05,-8.991685378974073e-05
438,-8.233622471507513e-05,-8.827449949112582e-05
439,-8.11954257509238e-05,-8.703588513761783e-05
440,-7.90985294563344e-05,-8.64781940320262e-05
441,-7.795773049080649e-05,-8.523957967953639e-05
442,-7.713364386027392e-05,-8.35972253848722e-05
443,-7.599284489383674e-05,-8.235861103247347e-05
444,-7.501622188619151e-05,-8.128714383598624e-05
445,-7.387542291826247e-05,-8.004852948251322e-05
446,-7.305133628858918e-05,-7.840617518926592e-05
447,-7.191053731975082e-05,-7.716756083588484e-05
448,-7.131018775030878e-05,-7.72762816095326e-05
449,-7.016938878139182e-05,-7.603766725965556e-05
450,-6.934530215335638e-05,-7.439531297332889e-05
451,-6.82045031835289e-05,-7.315669862354454e-05
452,-6.722788017482777e-05,-7.20852314246873e-05
453,-6.608708120351e-05,-7.084661707383041e-05
454,-6.526299457633406e-05,-6.920426278891851e-05
455,-6.41221956041066e-05,-6.796564843815508e-05
456,-6.202529931423909e-05,-6.740795735498344e-05
457,-6.088450034063539e-05,-6.61693430052378e-05
458,-6.006041371509779e-05,-6.452698872427912e-05
459,-5.891961474058412e-05,-6.32883743746239e-05
460,-5.794299173006727e-05,-6.221690717085984e-05
461,-5.680219275406239e-05,-6.097829282013332e-05
462,-5.597810612938559e-05,-5.9335938540592235e-05
463,-5.483730715247166e-05,-5.809732418995766e-05
464,-5.291966590144191e-05,-5.648243242558726e-05
465,-5.17788669238973e-05,-5.524381807172149e-05
466,-5.09547803012549e-05,-5.360146379096111e-05
467,-4.981398132280189e-05,-5.236284943718549e-05
468,-4.883735831106152e-05,-5.1291382224280405e-05
469,-4.769655933111757e-05,-5.005276786943625e-05
470,-4.6872472709334994e-05,-4.841041359009233e-05
471,-4.5731673728482264e-05,-4.7171799235340114e-05
472,-4.363477744374444e-05,-4.661410817335753e-05
473,-4.2493978461516076e-05,-4.53754938196243e-05
474,-4.1669891841372003e-05,-4.373313954423669e-05
475,-4.052909285823459e-05,-4.2494525190594535e-05
476,-3.9552469844681326e-05,-4.142305797278403e-05
477,-3.8411670860053566e-05,-4.01844436180709e-05
478,-3.758758424077035e-05,-3.854208934410289e-05
479,-3.6446785255235276e-05,-3.730347498948419e-05
480,-3.590665112924405e-05,-3.5875078426782475e-05
481,-3.4765852146794666e-05,-3.463646407152421e-05
482,-3.394176553139463e-05,-3.299410979971018e-05
483,-3.2800966548035494e-05,-3.175549544454369e-05
484,-3.1824343536180526e-05,-3.068402821995871e-05
485,-3.068354455133148e-05,-2.9445413863721573e-05
486,-2.9859457936792463e-05,-2.780305959332774e-05
487,-2.8718658951035398e-05,-2.656444523718547e-05
488,-2.6621762676679083e-05,-2.6006754197381815e-05
489,-2.5480963689546328e-05,-2.476813984225902e-05
490,-2.465687707664993e-05,-2.3125785575821712e-05
491,-2.3516078088608506e-05,-2.18871712207914e-05
492,-2.2539455074940156e-05,-2.0815703991303224e-05
493,-2.1398656085410393e-05,-1.9577089635204484e-05
494,-2.0574569473374472e-05,-1.7934735370186397e-05
495,-1.9433770482936202e-05,-1.669612101418182e-05
496,-1.7516129267318935e-05,-1.5081229152568896e-05
497,-1.637533027625069e-05,-1.3842614793333722e-05
498,-1.5551243666249166e-05,-1.2200260527101383e-05
499,-1.4410444674274093e-05,-1.0961646167959613e-05
500,-1.343382165938851e-05,-9.890178929334594e-06
