,vout (V),,
code,nominal,seed=1,seed=2
580,-9.236120856,-7.941335521,-8.933178432
581,-9.235833909,-7.941114375,-8.932902403
582,-9.235546962,-7.940746093,-8.932538512
583,-9.235260014,-7.940524947,-8.932262564
584,-9.234973067,-7.940225237,-8.931950844
585,-9.23468612,-7.940004091,-8.931674815
586,-9.234399172,-7.939635809,-8.931311004
587,-9.234112225,-7.939414663,-8.931034975
588,-9.233825278,-7.939341353,-8.930944934
589,-9.23353833,-7.939120207,-8.930668905
590,-9.233251383,-7.938751925,-8.930305015
591,-9.232964435,-7.938530779,-8.930029066
592,-9.232677488,-7.938159649,-8.929690275
593,-9.232390541,-7.937938503,-8.929414246
594,-9.232103593,-7.937570221,-8.929050435
595,-9.231816646,-7.937349075,-8.928774406
596,-9.231529699,-7.937275765,-8.928684365
597,-9.231242751,-7.937054619,-8.928408337
598,-9.230955804,-7.936686337,-8.928044446
599,-9.230668857,-7.936465192,-8.927768497
600,-9.230381909,-7.936165481,-8.927456777
601,-9.230094962,-7.935944335,-8.927180748
602,-9.229808015,-7.935576053,-8.926816937
