code,MC1_seed=1,MC1_seed=2
625,-0.022452058,-0.02193588
626,-0.022451349,-0.021935323
627,-0.022450687,-0.021934595
628,-0.022450041,-0.021933701
629,-0.022449379,-0.021932973
630,-0.02244867,-0.021932416
631,-0.022448009,-0.021931688
632,-0.022447207,-0.02193081
633,-0.022446546,-0.021930082
634,-0.022445837,-0.021929525
635,-0.022445175,-0.021928797
636,-0.022444529,-0.021927903
637,-0.022443867,-0.021927175
638,-0.022443159,-0.021926618
639,-0.022442497,-0.02192589
640,-0.022442366,-0.021926027
641,-0.022441705,-0.021925299
642,-0.022440996,-0.021924742
643,-0.022440334,-0.021924014
644,-0.022439688,-0.02192312
645,-0.022439027,-0.021922392
646,-0.022438318,-0.021921835
647,-0.022437656,-0.021921108
648,-0.022436854,-0.021920229
649,-0.022436193,-0.021919501
650,-0.022435484,-0.021918944
651,-0.022434823,-0.021918217
652,-0.022434176,-0.021917322
653,-0.022433515,-0.021916594
654,-0.022432806,-0.021916037
655,-0.022432144,-0.02191531
656,-0.022432532,-0.021915775
657,-0.02243187,-0.021915048
658,-0.022431161,-0.02191449
659,-0.0224305,-0.021913763
660,-0.022429854,-0.021912868
661,-0.022429192,-0.021912141
662,-0.022428483,-0.021911584
663,-0.022427822,-0.021910856
664,-0.02242702,-0.021909977
665,-0.022426358,-0.02190925
666,-0.02242565,-0.021908693
667,-0.022424988,-0.021907965
668,-0.022424342,-0.02190707
669,-0.02242368,-0.021906343
670,-0.022422971,-0.021905786
671,-0.02242231,-0.021905058
672,-0.022420552,-0.021907952
673,-0.02241989,-0.021907224
674,-0.022419181,-0.021906667
675,-0.02241852,-0.021905939
676,-0.022417873,-0.021905045
677,-0.022417212,-0.021904317
678,-0.022416503,-0.02190376
679,-0.022415842,-0.021903033
680,-0.02241504,-0.021902154
681,-0.022414378,-0.021901426
682,-0.022413669,-0.021900869
683,-0.022413008,-0.021900142
684,-0.022412362,-0.021899247
685,-0.0224117,-0.021898519
686,-0.022410991,-0.021897962
687,-0.02241033,-0.021897235
688,-0.022410717,-0.0218977
689,-0.022410056,-0.021896972
690,-0.022409347,-0.021896415
691,-0.022408686,-0.021895688
692,-0.022408039,-0.021894793
693,-0.022407378,-0.021894066
694,-0.022406669,-0.021893509
695,-0.022406007,-0.021892781
696,-0.022405205,-0.021891902
697,-0.022404544,-0.021891175
698,-0.022403835,-0.021890618
699,-0.022403174,-0.02188989
700,-0.022402527,-0.021888995
701,-0.022401866,-0.021888268
702,-0.022401157,-0.021887711
703,-0.022400496,-0.021886983
704,-0.02240094,-0.021883659
705,-0.022400279,-0.021882932
706,-0.02239957,-0.021882375
707,-0.022398909,-0.021881647
